,Mobile_Brand,Mobile model,mobile with 5g services,ROM,rating,No of ratings ,No of reviews,Battery,Display,Processor,warranty,RAM,Camera,Expandable,discounted_price,Original_price,discount_percent
161,APPLE,APPLE iPhone 11,, 64 GB,4.6,"1,78,400 ","10,573",,,,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,,,,"37,999","14,999",40
162,REDMI,REDMI 10 ,, 64 GB,4.3,"1,70,664 ","10,998",,,,,,,,"8,999","19,999",40
163,Cellecor,Cellecor R3+ ,,,3.5,13 ,2,,15.49 cm (6.1 inch) Super Retina XDR ,,,,,,"1,049","11,999",37
164,POCO,POCO M4 Pro,, 128 GB,4.3,"1,34,634 ","12,280", ,,,,, 12MP Front ,,"11,999","17,999",38
165,POCO,POCO C31 ,, 64 GB,4.3,"1,87,995 ","11,329",,,"A15 Bionic Chip, 6 Core  ",,,,,"7,499","17,999",38
166,POCO,POCO M4 Pro,, 64 GB,4.3,"1,34,634 ","12,280",,,,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,,,,"10,999","14,999",20
167,Cellecor,Cellecor X2 ,,,4.3,"1,34,634 ","12,280",,,,,,,,"1,149","23,999",37
168,POCO,POCO M4 Pro,, 64 GB,4.4,"1,11,744 ","6,424",,15.49 cm (6.1 inch) Liquid Retina HD ,,,,,,"10,999","11,999",37
169,SAMSUNG,SAMSUNG Galaxy F13,, 64 GB,4.3,"1,40,978 ","11,531", ,,,,, 12MP Front ,,"11,999","10,999",27
170,SAMSUNG,SAMSUNG Galaxy F23,5G, 128 GB,4.3,"1,87,995 ","11,329",,,A13 Bionic Chip ,,,,,"14,999","10,999",40
171,Cellecor,Cellecor X-1 ,,,4.1,"59,846 ","5,853",,,,Brand Warranty of 1 Year,,,,"1,149","10,999",27
172,POCO,POCO C31 ,, 64 GB,4.3,"1,25,511 ","7,439", ,,,,32 MB  ,,  Upto 32 GB,"7,499","9,999",28
173,MOTOROLA,MOTOROLA e40 ,, 64 GB,2.3,6 ,0,,4.57 cm (1.8 inch) ,,,,,,"7,999","23,999",37
174,REDMI,REDMI 10 ,, 64 GB,4.3,"1,70,664 ","10,998", ,,,,4 GB  ,,  Upto 1 TB,"8,999","14,999",40
175,APPLE,APPLE iPhone 14,, 128 GB,4.7,"4,247 ",163,,17.2 cm (6.7 inch) HD+ ,,,,,,"67,999","79,900",14
176,APPLE,APPLE iPhone 11,, 64 GB,4.6,"1,78,400 ","10,573", ,,,,, 5MP Front ,,"37,999","43,900",13
177,Cellecor,Cellecor E3 ,,,3.2,15 ,2,6000 mAh Lithium Polymer Battery,,,,,,,"1,179","79,900",14
178,APPLE,APPLE iPhone 14,, 128 GB,4.7,"4,247 ",163,,,Qualcomm Snapdragon 68 ,,,,,"67,999","43,900",13
179,APPLE,APPLE iPhone 11,, 64 GB,4.6,"1,78,400 ","10,573",,,,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,,,,"37,999","14,999",40
180,REDMI,REDMI 10 ,, 64 GB,4.3,"1,70,664 ","10,998",,,,,,,,"8,999","19,999",40
181,Cellecor,Cellecor E1 ,,,3.6,38 ,2,,15.49 cm (6.1 inch) Super Retina XDR ,,,,,,"1,229","11,999",37
182,POCO,POCO M4 Pro,, 128 GB,4.3,"1,34,634 ","12,280", ,,,,, 12MP Front ,,"11,999","17,999",38
183,POCO,POCO C31 ,, 64 GB,4.3,"1,87,995 ","11,329",,,"A15 Bionic Chip, 6 Core  ",,,,,"7,499","14,999",20
184,POCO,POCO M4 Pro,, 64 GB,4.3,"1,34,634 ","12,280",,,,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,,,,"10,999","17,999",38
185,Cellecor,Cellecor R3+ ,,,3.5,13 ,2,,,,,,,,"1,049","23,999",37
186,SAMSUNG,SAMSUNG Galaxy F13,, 64 GB,4.4,"1,11,744 ","6,424",,15.49 cm (6.1 inch) Liquid Retina HD ,,,,,,"11,999","11,999",37
187,POCO,POCO M4 Pro,, 64 GB,4.3,"1,34,634 ","12,280", ,,,,, 12MP Front ,,"10,999","10,999",27
