,Laptop_BRAND,Laptop model name,Device color,Number of ratings,Number of reviews,RAM,ROM,DISPLAY,Discounted_Price,Original_Price,Discount %
86,SAMSUNG,SAMSUNG Galaxy F13,WaterfallBlue,"1,11,744","6,424",4 GB,64 GB,,"11,999","19,999",15
87,POCO,POCO M4 Pro5G,CoolBlue,"43,191","3,849",6 GB,128 GB,,"16,999","9,999",28
88,REDMI,REDMI 9i Sport,CarbonBlack,"2,16,491","12,210",4 GB,64 GB,,"7,199","23,999",37
89,I Kall ,I Kall Z7UltraSeries,Blue,343,35,4 GB,32 GB,15.9 cm (6.26 inch) Display,"5,989","6,299",4%
90,Tecno,Tecno Camon 19,SeaSaltWhite,195,21,6 GB,128 GB,,"14,980","15,449",3%
91,REDMI,REDMI 10 ,CaribbeanGreen,"1,70,664","10,998",4 GB,64 GB,,"8,999","14,999",40
92,APPLE,APPLE iPhone 14,Midnight,"4,247",163,,128 GB,15.49 cm (6.1 inch) Super Retina XDR Display,"67,999","79,900",14
93,APPLE,APPLE iPhone 11,White,"1,78,400","10,573",,64 GB,15.49 cm (6.1 inch) Liquid Retina HD Display,"37,999","43,900",13
94,APPLE,APPLE iPhone 14,Blue,"4,247",163,,128 GB,15.49 cm (6.1 inch) Super Retina XDR Display,"67,999","79,900",14
95,REDMI,REDMI 10 ,PacificBlue,"1,70,664","10,998",4 GB,64 GB,,"8,999","14,999",40
96,I Kall ,I Kall K3312,,"12,298","1,161",32 MB,64 MB,,999,"14,999",40
97,REDMI,REDMI 10 ,MidnightBlack,"1,70,664","10,998",4 GB,64 GB,,"8,999","19,999",40
98,POCO,POCO M4 Pro,CoolBlue,"1,34,237","12,247",6 GB,128 GB,,"11,999","43,900",13
99,APPLE,APPLE iPhone 11,Black,"1,78,400","10,573",,64 GB,15.49 cm (6.1 inch) Liquid Retina HD Display,"37,999","17,999",38
100,DIZO,DIZO Star 300,,"9,590","1,140",32 MB,32 MB,,"1,485","17,999",38
101,POCO,POCO M4 Pro,CoolBlue,"1,34,237","12,247",6 GB,64 GB,,"10,999","14,999",20
102,POCO,POCO M4 Pro,Yellow,"1,34,237","12,247",6 GB,64 GB,,"10,999","11,999",37
103,SAMSUNG,SAMSUNG Galaxy F13,NightskyGreen,"1,11,744","6,424",4 GB,64 GB,,"11,999","23,999",37
104,DIZO,DIZO Star 500,,"12,421","1,467",32 MB,32 MB,,"1,899","10,999",27
105,POCO,POCO C31 ,RoyalBlue,"1,87,995","11,329",4 GB,64 GB,,"7,499",829,6%
106,SAMSUNG,SAMSUNG Galaxy F235G,ForestGreen,"1,40,978","11,531",6 GB,128 GB,,"14,999","11,999",37
107,MOTOROLA,MOTOROLA e40 ,CarbonGray,"59,846","5,853",4 GB,64 GB,,"7,999","10,999",40
108,I Kall ,I Kall KingTalking ContacticonandAuto,,"15,092","1,403",32 MB,32 MB,4.57 cm (1.8 inch) Display,774,"16,999",11
109,DIZO,DIZO Star 500,,"12,421","1,467",32 MB,32 MB,,"1,899","79,900",14
110,APPLE,APPLE iPhone 14,Midnight,"4,247",163,,128 GB,15.49 cm (6.1 inch) Super Retina XDR Display,"67,999","14,999",40
111,REDMI,REDMI 10 ,PacificBlue,"1,70,664","10,998",4 GB,64 GB,,"8,999","14,999",40
112,REDMI,REDMI 10 ,CaribbeanGreen,"1,70,664","10,998",4 GB,64 GB,,"8,999","79,900",14
113,APPLE,APPLE iPhone 14,Blue,"4,247",163,,128 GB,15.49 cm (6.1 inch) Super Retina XDR Display,"67,999","14,999",20
114,SAMSUNG,SAMSUNG Galaxy F13,NightskyGreen,"1,11,744","6,424",4 GB,64 GB,,"11,999","43,900",13
115,APPLE,APPLE iPhone 11,White,"1,78,400","10,573",,64 GB,15.49 cm (6.1 inch) Liquid Retina HD Display,"37,999","19,999",40
116,POCO,POCO M4 Pro,CoolBlue,"1,34,237","12,247",6 GB,128 GB,,"11,999","17,999",38
117,POCO,POCO M4 Pro,CoolBlue,"1,34,237","12,247",6 GB,64 GB,,"10,999","16,999",11
118,POCO,POCO M4 Pro5G,CoolBlue,"35,159","3,125",4 GB,64 GB,,"14,999","43,900",13
119,APPLE,APPLE iPhone 11,Black,"1,78,400","10,573",,64 GB,15.49 cm (6.1 inch) Liquid Retina HD Display,"37,999","17,999",38
120,POCO,POCO M4 Pro,Yellow,"1,34,237","12,247",6 GB,64 GB,,"10,999","19,999",40
121,POCO,POCO M4 Pro,Yellow,"1,34,237","12,247",6 GB,128 GB,,"11,999","11,999",37
122,POCO,POCO C31 ,RoyalBlue,"1,87,995","11,329",4 GB,64 GB,,"7,499","23,999",37
123,SAMSUNG,SAMSUNG Galaxy F235G,ForestGreen,"1,40,978","11,531",6 GB,128 GB,,"14,999","10,999",27
124,MOTOROLA,MOTOROLA e40 ,CarbonGray,"59,846","5,853",4 GB,64 GB,,"7,999","16,999",23
125,SAMSUNG,SAMSUNG Galaxy F13,NightskyGreen,"1,11,744","6,424",4 GB,128 GB,,"12,999","11,999",37
126,POCO,POCO C31 ,ShadowGray,"1,87,995","11,329",4 GB,64 GB,,"7,499","14,999",20
127,SAMSUNG,SAMSUNG Galaxy F13,SunriseCopper,"1,11,744","6,424",4 GB,64 GB,,"11,999","10,999",27
128,MOTOROLA,MOTOROLA e40 ,PinkClay,"59,846","5,853",4 GB,64 GB,,"7,999","14,999",20
129,SAMSUNG,SAMSUNG Galaxy F13,WaterfallBlue,"1,11,744","6,424",4 GB,64 GB,,"11,999","19,999",15
130,POCO,POCO M4 Pro5G,CoolBlue,"43,191","3,849",6 GB,128 GB,,"16,999","9,999",28
131,REDMI,REDMI 9i Sport,CarbonBlack,"2,16,491","12,210",4 GB,64 GB,,"7,199","23,999",37
132,DIZO,DIZO Star 500,,"12,421","1,467",32 MB,32 MB,,"1,899","79,900",14
133,APPLE,APPLE iPhone 14,Midnight,"4,247",163,,128 GB,15.49 cm (6.1 inch) Super Retina XDR Display,"67,999","14,999",40
134,REDMI,REDMI 10 ,PacificBlue,"1,70,664","10,998",4 GB,64 GB,,"8,999","14,999",40
135,REDMI,REDMI 10 ,CaribbeanGreen,"1,70,664","10,998",4 GB,64 GB,,"8,999","79,900",14
